,hours,mark
0,865,95
1,4,12
2,305,35
3,437,56
4,682,86
5,560,40
6,367,26
7,861,73
8,59,20
9,514,85
10,264,36
11,741,64
12,558,56
13,136,45
14,908,86
15,980,90
16,882,90
17,809,74
18,152,39
19,831,100
20,986,96
21,487,43
22,914,100
23,796,91
24,60,28
25,458,49
26,152,23
27,196,33
28,207,22
29,434,33
30,45,0
31,60,19
32,18,39
33,579,74
34,113,32
35,518,54
36,421,48
37,85,40
38,811,54
39,211,36
40,640,61
41,428,32
42,81,13
43,596,54
44,667,58
45,302,51
46,131,39
47,58,4
48,708,77
49,490,67
50,307,41
51,176,4
52,661,40
53,217,13
54,170,5
55,153,3
56,512,50
57,193,30
58,745,78
59,336,31
60,476,32
61,746,88
62,412,48
63,322,48
64,508,57
65,439,48
66,392,27
67,236,55
68,672,62
69,652,56
70,756,87
71,53,8
72,438,30
73,355,14
74,344,21
75,134,36
76,644,71
77,157,27
78,649,79
79,698,83
80,941,100
81,491,37
82,159,37
83,84,0
84,984,90
85,62,32
86,431,41
87,317,57
88,228,14
89,2,7
90,413,58
91,36,3
92,48,22
93,515,34
94,686,93
95,252,66
96,49,21
97,792,97
98,310,46
99,934,89
