Job_position,LowEnd_salary,Median_salary,HighEnd_salary,Country,datetime
Web Developer,11400.00 MXN,16800.00 MXN,24800.00 MXN,mx,2020-06-07 14:41:06.272359
Javascript Developer,17400.00 MXN,23500.00 MXN,36200.00 MXN,mx,2020-06-07 14:41:06.272359
Back End Developer,15600.00 MXN,20900.00 MXN,32300.00 MXN,mx,2020-06-07 14:41:06.272359
Frontend Developer,13500.00 MXN,20000.00 MXN,29500.00 MXN,mx,2020-06-07 14:41:06.272359
Web Designer,8900.00 MXN,13000.00 MXN,19300.00 MXN,mx,2020-06-07 14:41:06.272359
User Experience Designer,14300.00 MXN,22400.00 MXN,32200.00 MXN,mx,2020-06-07 14:41:06.272359
Graphic Web Designer,12400.00 MXN,15600.00 MXN,24900.00 MXN,mx,2020-06-07 14:41:06.272359
Data Engineer,19600.00 MXN,25000.00 MXN,39600.00 MXN,mx,2020-06-07 14:41:06.272359
Data Analyst,10800.00 MXN,16400.00 MXN,24000.00 MXN,mx,2020-06-07 14:41:06.272359
Data Scientist,22800.00 MXN,32200.00 MXN,48500.00 MXN,mx,2020-06-07 14:41:06.272359
Database Administrator,19300.00 MXN,26000.00 MXN,40100.00 MXN,mx,2020-06-07 14:41:06.272359
Web Developer,14000.00 EUR,21000.00 EUR,30800.00 EUR,es,2020-06-07 14:41:06.272359
Javascript Developer,18900.00 EUR,31000.00 EUR,43700.00 EUR,es,2020-06-07 14:41:06.272359
Back End Developer,16700.00 EUR,28000.00 EUR,39100.00 EUR,es,2020-06-07 14:41:06.272359
Frontend Developer,16800.00 EUR,25000.00 EUR,36800.00 EUR,es,2020-06-07 14:41:06.272359
User Experience Designer,18000.00 EUR,28000.00 EUR,40000.00 EUR,es,2020-06-07 14:41:06.272359
Graphic Web Designer,1030.00 EUR,1500.00 EUR,2200.00 EUR,es,2020-06-07 14:41:06.272359
Data Engineer,20100.00 EUR,34800.00 EUR,47900.00 EUR,es,2020-06-07 14:41:06.272359
Data Analyst,16300.00 EUR,25000.00 EUR,36300.00 EUR,es,2020-06-07 14:41:06.272359
Data Scientist,21700.00 EUR,32000.00 EUR,47300.00 EUR,es,2020-06-07 14:41:06.272359
Database Administrator,18400.00 EUR,34000.00 EUR,45600.00 EUR,es,2020-06-07 14:41:06.272359
Web Developer,40200.00 USD,61500.00 USD,89400.00 USD,us,2020-06-07 14:41:06.272359
Javascript Developer,54700.00 USD,80000.00 USD,118700.00 USD,us,2020-06-07 14:41:06.272359
Back End Developer,57200.00 USD,85000.00 USD,125200.00 USD,us,2020-06-07 14:41:06.272359
Frontend Developer,48800.00 USD,75000.00 USD,108800.00 USD,us,2020-06-07 14:41:06.272359
Web Designer,34200.00 USD,52000.00 USD,75800.00 USD,us,2020-06-07 14:41:06.272359
User Experience Designer,53600.00 USD,80000.00 USD,117600.00 USD,us,2020-06-07 14:41:06.272359
Graphic Web Designer,31900.00 USD,47000.00 USD,69500.00 USD,us,2020-06-07 14:41:06.272359
Data Engineer,65000.00 USD,95000.00 USD,136000.00 USD,us,2020-06-07 14:41:06.272359
Data Analyst,39900.00 USD,61000.00 USD,88700.00 USD,us,2020-06-07 14:41:06.272359
Database Administrator,50200.00 USD,83200.00 USD,116700.00 USD,us,2020-06-07 14:41:06.272359
Web Developer,3000.00 BRL,3770.00 BRL,6000.00 BRL,br,2020-06-07 14:41:06.272359
User Experience Designer,3300.00 BRL,5250.00 BRL,7500.00 BRL,br,2020-06-07 14:41:06.272359
Data Scientist,6400.00 BRL,8850.00 BRL,13400.00 BRL,br,2020-06-07 14:41:06.272359
Web Designer,12600.00 EUR,18000.00 EUR,27000.00 EUR,es,2020-06-07 14:41:06.272359
Web Developer,26300.00 EUR,40000.00 EUR,55000.00 EUR,de,2020-06-07 14:41:06.272359
Javascript Developer,37100.00 EUR,54500.00 EUR,69900.00 EUR,de,2020-06-07 14:41:06.272359
Back End Developer,36000.00 EUR,54000.00 EUR,65500.00 EUR,de,2020-06-07 14:41:06.272359
Frontend Developer,31200.00 EUR,46800.00 EUR,62400.00 EUR,de,2020-06-07 14:41:06.272359
Web Designer,2000.00 EUR,2970.00 EUR,3850.00 EUR,de,2020-06-07 14:41:06.272359
User Experience Designer,32400.00 EUR,45000.00 EUR,62400.00 EUR,de,2020-06-07 14:41:06.272359
