Fecha,Hora,Intensidad,Latitud,Longitud,Profundidad
2020-11-12,05:58:17,4.3,15.82,-95.04,16.0 km
2020-11-12,04:48:05,3.7,16.21,-96.46,65.0 km
2020-11-12,04:21:59,3.1,16.68,-97.47,13.0 km
2020-11-12,04:14:19,3.8,15.37,-94.77,16.0 km
2020-11-12,04:13:53,3.4,17.36,-101.65,5.0 km
2020-11-12,04:10:23,3.7,15.97,-95.23,28.0 km
2020-11-12,04:05:30,3.8,15.31,-94.45,4.0 km
2020-11-12,03:35:43,3.9,14.82,-93.69,25.0 km
2020-11-12,03:20:12,3.6,31.5,-115.53,18.0 km
2020-11-12,03:18:39,3.2,15.99,-96.25,52.0 km
2020-11-12,03:16:19,3.6,15.73,-96.8,13.0 km
2020-11-12,02:37:35,3.6,16.59,-94.63,102.0 km
2020-11-12,02:24:41,4,17.47,-92.76,10.0 km
2020-11-12,02:11:40,3.4,16.69,-99.66,2.0 km
2020-11-12,02:04:16,3.1,17.95,-101.53,42.0 km
2020-11-20,02:43:53,4.9,16.18,-94.54,87.0 km
2020-11-20,00:09:52,4.2,15.67,-96.29,19.0 km
2020-11-19,16:54:18,3.7,18.88,-103.24,7.0 km
2020-11-19,16:38:16,3.9,18.05,-103.26,2.0 km
2020-11-19,16:36:07,3.6,17.21,-94.42,153.0 km
2020-11-19,16:24:46,3.8,15.99,-94.41,75.0 km
2020-11-19,16:20:45,3.6,17,-95.38,106.0 km
2020-11-19,16:17:00,3.7,31.54,-115.59,19.0 km
2020-11-19,14:58:25,4.1,14.68,-95.25,15.0 km
2020-11-19,13:24:57,4,17.14,-95.48,109.0 km
2020-11-19,12:53:05,3.3,16.03,-97.67,18.0 km
2020-11-19,12:40:44,3.6,15.54,-93.05,20.0 km
2020-11-19,12:21:32,3.5,16.02,-97.67,16.0 km
2020-11-19,11:54:06,3.7,19.51,-102.34,15.0 km
2020-11-19,11:12:02,3.4,15.97,-95.31,16.0 km
2020-11-20,18:05:49,4.2,24.11,-108.96,16.0 km
2020-11-20,17:18:54,4,15.99,-97.69,25.0 km
2020-11-20,16:58:49,3.6,17.32,-92.29,10.0 km
2020-11-20,16:36:44,4,16.01,-95.9,52.0 km
2020-11-20,16:35:29,3.7,20.37,-105.12,32.0 km
2020-11-20,16:14:27,3.4,15.9,-96.81,5.0 km
2020-11-20,16:03:04,3,16.78,-99.39,5.0 km
2020-11-20,15:24:48,3.5,16.28,-98.08,8.0 km
2020-11-20,14:18:35,3.6,19.18,-104.05,10.0 km
2020-11-20,13:02:53,3.6,14.9,-93.69,47.0 km
2020-11-20,12:29:14,4,14.63,-92.17,95.0 km
2020-11-20,12:15:22,3.4,16.85,-96.64,62.0 km
2020-11-20,12:07:13,3.6,16.05,-97.65,12.0 km
2020-11-20,11:53:07,3.9,14.37,-93.8,10.0 km
2020-11-20,11:46:53,3.4,19.48,-104.79,33.0 km
2020-12-14,11:23:30,4.3,15.35,-94.15,37.0
2020-12-14,04:53:40,3.8,18.34,-100.79,57.0
2020-12-14,04:45:40,3.8,16.15,-96.36,43.0
2020-12-14,04:42:12,3.4,16.42,-95.49,3.0
2020-12-14,04:21:52,3.3,16.05,-97.65,30.0
2020-12-14,04:20:56,3.4,16.41,-95.06,11.0
2020-12-14,04:16:54,3.3,16.55,-98.43,9.0
2020-12-14,04:15:16,3.7,16.57,-98.48,6.0
2020-12-14,04:13:53,3.5,16.42,-95.06,4.0
2020-12-14,03:56:46,3.5,16.57,-98.48,6.0
2020-12-14,03:54:54,3.7,16.57,-98.47,7.0
2020-12-14,03:53:58,3.6,16.47,-95.03,4.0
2020-12-14,03:32:21,3.6,16.45,-95.04,7.0
2020-12-14,03:29:10,3.5,19.89,-104.56,85.0
2020-12-14,03:24:56,3.8,17.2,-92.03,26.0
